year,region,"('value', 'No. of Accidents')","('value', 'No. of Casualties - Dead')","('value', 'No. of Casualties - Injured')",driving_liceses,x,y
2016,Al-Baha,3618.0,185.0,1227.0,4614,20.1484058503,41.4665484892
2016,Al-Jouf,10212.0,245.0,920.0,9371,29.9677445762,39.5570371172
2016,Al-Qaseem,25664.0,397.0,1513.0,9180,26.1967063704,43.3429998455
2016,Assir,32684.0,983.0,2541.0,41367,19.1387847401,42.941470036
2016,Eastern,101619.0,1113.0,4893.0,142307,23.2883307307,50.1478302439
2016,Hail,10199.0,299.0,932.0,54507,27.400845724,41.4406960508
2016,Jazan,25873.0,514.0,2259.0,11504,17.2072313962,42.6525807422
2016,Madinah,14475.0,822.0,4184.0,24540,24.927534539,39.4918237173
2016,Makkah,134838.0,2243.0,12383.0,136055,21.628962766,41.2636898334
2016,Najran,3235.0,173.0,706.0,2153,18.4511003068,46.8688495726
2016,Northern Boarder,13196.0,193.0,631.0,4958,30.197074783,41.8171186952
2016,Riyadh,141736.0,1430.0,4207.0,242851,23.0814341634,45.5857512766
2016,Tabouk,16031.0,434.0,1724.0,13610,27.90165499,37.2598581394
2017,Al-Baha,1414.0,134.0,1007.0,4131,20.1484058503,41.4665484892
2017,Al-Jouf,10469.0,240.0,862.0,8091,29.9677445762,39.5570371172
2017,Al-Qaseem,22405.0,319.0,1446.0,6318,26.1967063704,43.3429998455
2017,Assir,25245.0,828.0,2368.0,39133,19.1387847401,42.941470036
2017,Eastern,81433.0,963.0,4073.0,126816,23.2883307307,50.1478302439
2017,Hail,9379.0,265.0,773.0,22035,27.400845724,41.4406960508
2017,Jazan,22161.0,466.0,2207.0,18345,17.2072313962,42.6525807422
2017,Madinah,16070.0,580.0,2917.0,36165,24.927534539,39.4918237173
2017,Makkah,145541.0,1641.0,10623.0,142487,21.628962766,41.2636898334
2017,Najran,3193.0,194.0,766.0,13825,18.4511003068,46.8688495726
2017,Northern Boarder,11540.0,112.0,374.0,5280,30.197074783,41.8171186952
2017,Riyadh,99925.0,1399.0,4540.0,495307,23.0814341634,45.5857512766
2017,Tabouk,11713.0,348.0,1243.0,10232,27.90165499,37.2598581394
1993,Al-Baha,,,,3270,20.1484058503,41.4665484892
1993,Al-Jouf,,,,2884,29.9677445762,39.5570371172
1993,Al-Qaseem,,,,73618,26.1967063704,43.3429998455
1993,Assir,,,,6226,19.1387847401,42.941470036
1993,Eastern,,,,9964,23.2883307307,50.1478302439
1993,Hail,,,,10484,27.400845724,41.4406960508
1993,Jazan,,,,6009,17.2072313962,42.6525807422
1993,Madinah,,,,4122,24.927534539,39.4918237173
1993,Makkah,,,,65977,21.628962766,41.2636898334
1993,Najran,,,,3769,18.4511003068,46.8688495726
1993,Northern Boarder,,,,1510,30.197074783,41.8171186952
1993,Riyadh,,,,103886,23.0814341634,45.5857512766
1993,Tabouk,,,,3174,27.90165499,37.2598581394
1994,Al-Baha,,,,2729,20.1484058503,41.4665484892
1994,Al-Jouf,,,,2535,29.9677445762,39.5570371172
1994,Al-Qaseem,,,,68916,26.1967063704,43.3429998455
1994,Assir,,,,5185,19.1387847401,42.941470036
1994,Eastern,,,,10918,23.2883307307,50.1478302439
1994,Hail,,,,11131,27.400845724,41.4406960508
1994,Jazan,,,,3826,17.2072313962,42.6525807422
1994,Madinah,,,,3767,24.927534539,39.4918237173
1994,Makkah,,,,75349,21.628962766,41.2636898334
1994,Najran,,,,3880,18.4511003068,46.8688495726
1994,Northern Boarder,,,,1457,30.197074783,41.8171186952
1994,Riyadh,,,,110545,23.0814341634,45.5857512766
1994,Tabouk,,,,3282,27.90165499,37.2598581394
1995,Al-Baha,,,,2423,20.1484058503,41.4665484892
1995,Al-Jouf,,,,2270,29.9677445762,39.5570371172
1995,Al-Qaseem,,,,49690,26.1967063704,43.3429998455
1995,Assir,,,,4889,19.1387847401,42.941470036
1995,Eastern,,,,7831,23.2883307307,50.1478302439
1995,Hail,,,,9735,27.400845724,41.4406960508
1995,Jazan,,,,2284,17.2072313962,42.6525807422
1995,Madinah,,,,4155,24.927534539,39.4918237173
1995,Makkah,,,,60356,21.628962766,41.2636898334
1995,Najran,,,,3268,18.4511003068,46.8688495726
1995,Northern Boarder,,,,1318,30.197074783,41.8171186952
1995,Riyadh,,,,101608,23.0814341634,45.5857512766
1995,Tabouk,,,,2051,27.90165499,37.2598581394
1996,Al-Baha,,,,1468,20.1484058503,41.4665484892
1996,Al-Jouf,,,,2518,29.9677445762,39.5570371172
1996,Al-Qaseem,,,,42693,26.1967063704,43.3429998455
1996,Assir,,,,3319,19.1387847401,42.941470036
1996,Eastern,,,,8461,23.2883307307,50.1478302439
1996,Hail,,,,10267,27.400845724,41.4406960508
1996,Jazan,,,,2226,17.2072313962,42.6525807422
1996,Madinah,,,,3425,24.927534539,39.4918237173
1996,Makkah,,,,46195,21.628962766,41.2636898334
1996,Najran,,,,3274,18.4511003068,46.8688495726
